"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","16.2","","","","1"
"2020","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","15.5","","","","1"
"2021","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","18.5","","","","1"
"2022","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","19.0","","","","1"
"2023","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","19.0","","","","1"
"2024","Quebec","2021A000224","Part-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365996","6.4.9.1.1","22.1","","","","1"
"2001","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","24.7","","","","1"
"2002","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","22.3","","","","1"
"2003","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","23.6","","","","1"
"2004","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","24.4","","","","1"
"2005","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","25.0","","","","1"
"2006","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","22.8","","","","1"
"2007","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","21.3","","","","1"
"2008","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","20.4","","","","1"
"2009","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","25.5","","","","1"
"2010","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","21.0","","","","1"
"2011","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","22.3","","","","1"
"2012","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","23.3","","","","1"
"2013","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","20.1","","","","1"
"2014","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","19.5","","","","1"
"2015","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","19.4","","","","1"
"2016","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","21.1","","","","1"
"2017","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","25.6","","","","1"
"2018","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","20.9","","","","1"
"2019","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","25.0","","","","1"
"2020","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","17.5","","","","1"
"2021","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","22.0","","","","1"
"2022","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","25.0","","","","1"
"2023","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","28.9","","","","1"
"2024","Quebec","2021A000224","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365997","6.4.10.1.1","28.6","","","","1"
"2001","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","131.5","","","","1"
"2002","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","144.6","","","","1"
"2003","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","153.8","","","","1"
"2004","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","158.3","","","","1"
"2005","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","148.4","","","","1"
"2006","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","157.4","","","","1"
"2007","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","172.6","","","","1"
"2008","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","162.8","","","","1"
"2009","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","167.6","","","","1"
"2010","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","179.0","","","","1"
"2011","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","182.2","","","","1"
"2012","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","181.0","","","","1"
"2013","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","183.1","","","","1"
"2014","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","183.6","","","","1"
"2015","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","189.3","","","","1"
"2016","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","183.2","","","","1"
"2017","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","177.4","","","","1"
"2018","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","178.8","","","","1"
"2019","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","193.0","","","","1"
"2020","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","181.4","","","","1"
"2021","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","186.3","","","","1"
"2022","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","184.3","","","","1"
"2023","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","198.3","","","","1"
"2024","Quebec","2021A000224","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366014","6.4.14.1.1","202.7","","","","1"
"2001","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","17.8","","","","1"
"2002","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","18.5","","","","1"
"2003","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","21.6","","","","1"
"2004","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","22.9","","","","1"
"2005","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","18.7","","","","1"
"2006","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","21.8","","","","1"
"2007","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","21.3","","","","1"
"2008","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","23.0","","","","1"
"2009","Quebec","2021A000224","Part-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366002","6.4.17.1.1","21.9","","","","1"
