"2010/2011","Ontario","2021A000235","Career, technical or professional training diploma","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064404490","7.2.2.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Career, technical or professional training diploma","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064404760","7.2.3.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Career, technical or professional training diploma","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064405030","7.2.4.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Undergraduate degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064405570","7.3.2.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Undergraduate degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064405840","7.3.3.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Undergraduate degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064406110","7.3.4.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Master's degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064406650","7.4.2.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Master's degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064406920","7.4.3.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064407190","7.4.4.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064407730","7.5.2.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064408000","7.5.3.2.1.1.1","","..","","","0"
"2010/2011","Ontario","2021A000235","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064408270","7.5.4.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Career, technical or professional training certificate","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064408810","8.1.2.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Career, technical or professional training certificate","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064409080","8.1.3.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Career, technical or professional training certificate","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064409350","8.1.4.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Career, technical or professional training diploma","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064409890","8.2.2.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Career, technical or professional training diploma","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064410160","8.2.3.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Career, technical or professional training diploma","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064410430","8.2.4.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Undergraduate degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064410970","8.3.2.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Undergraduate degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064411240","8.3.3.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Undergraduate degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064411510","8.3.4.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Master's degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064412050","8.4.2.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Master's degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064412320","8.4.3.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064412590","8.4.4.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064413130","8.5.2.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064413400","8.5.3.2.1.1.1","","..","","","0"
"2010/2011","Manitoba","2021A000246","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064413670","8.5.4.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Career, technical or professional training certificate","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064414210","9.1.2.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Career, technical or professional training certificate","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064414480","9.1.3.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Career, technical or professional training certificate","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064414750","9.1.4.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Career, technical or professional training diploma","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064415290","9.2.2.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Career, technical or professional training diploma","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064415560","9.2.3.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Career, technical or professional training diploma","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064415830","9.2.4.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Undergraduate degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064416370","9.3.2.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Undergraduate degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064416640","9.3.3.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Undergraduate degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064416910","9.3.4.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Master's degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064417450","9.4.2.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Master's degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064417720","9.4.3.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064417990","9.4.4.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064418530","9.5.2.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064418800","9.5.3.2.1.1.1","","..","","","0"
"2010/2011","Saskatchewan","2021A000247","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064419070","9.5.4.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Career, technical or professional training certificate","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064419610","10.1.2.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Career, technical or professional training certificate","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064419880","10.1.3.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Career, technical or professional training certificate","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064420150","10.1.4.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Career, technical or professional training diploma","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064420690","10.2.2.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Career, technical or professional training diploma","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064420960","10.2.3.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Career, technical or professional training diploma","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064421230","10.2.4.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Undergraduate degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064421770","10.3.2.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Undergraduate degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064422040","10.3.3.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Undergraduate degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064422310","10.3.4.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Master's degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064422850","10.4.2.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Master's degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064423120","10.4.3.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Master's degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064423390","10.4.4.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Doctoral degree","STEM [a]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064423930","10.5.2.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Doctoral degree","BHASE [b]","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064424200","10.5.3.2.1.1.1","","..","","","0"
"2010/2011","Alberta","2021A000248","Doctoral degree","Unclassified","Canadian students","15 years and over","Total, gender","Number of students in entry cohort","Number","223","units","0","v1064424470","10.5.4.2.1.1.1","","..","","","0"
