"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.6","","","","1"
"2005","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.4","","","","1"
"2006","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.4","","","","1"
"2007","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.4","","","","1"
"2008","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
"2009","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
"2010","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.2","","","","1"
"2011","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.4","","","","1"
"2012","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
"2013","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","0.9","","","","1"
"2014","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","0.9","","","","1"
"2015","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.3","","","","1"
"2016","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
"2017","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
"2018","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","0.7","","","","1"
"2019","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
