"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","58.6","","","","1"
"2021","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","63.6","","","","1"
"2022","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","67.8","","","","1"
"2023","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","67.8","","","","1"
"2024","Manitoba","2021A000246","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366989","8.3.10.1.1","68.8","","","","1"
"2001","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","61.5","","","","1"
"2002","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","62.7","","","","1"
"2003","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","63.2","","","","1"
"2004","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","62.1","","","","1"
"2005","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","61.6","","","","1"
"2006","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","64.1","","","","1"
"2007","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","64.7","","","","1"
"2008","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","64.8","","","","1"
"2009","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","63.7","","","","1"
"2010","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","64.9","","","","1"
"2011","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","66.5","","","","1"
"2012","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","67.7","","","","1"
"2013","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","67.8","","","","1"
"2014","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","68.4","","","","1"
"2015","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","69.5","","","","1"
"2016","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","63.8","","","","1"
"2017","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","66.4","","","","1"
"2018","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","64.1","","","","1"
"2019","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","67.0","","","","1"
"2020","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","63.8","","","","1"
"2021","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","71.5","","","","1"
"2022","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","67.5","","","","1"
"2023","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","73.3","","","","1"
"2024","Manitoba","2021A000246","Full-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367006","8.3.14.1.1","72.6","","","","1"
"2001","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","32.5","","","","1"
"2002","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","33.0","","","","1"
"2003","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","33.2","","","","1"
"2004","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","32.0","","","","1"
"2005","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","31.2","","","","1"
"2006","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","32.6","","","","1"
"2007","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","33.7","","","","1"
"2008","Manitoba","2021A000246","Full-time employment","Transportation and warehousing [48-49]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366994","8.3.17.1.1","34.0","","","","1"
