"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","F","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
