"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","24.5","","","","1"
"2020","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","23.4","","","","1"
"2021","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","22.3","","","","1"
"2022","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","27.5","","","","1"
"2023","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","29.2","","","","1"
"2024","New Brunswick","2021A000213","Full-time employment","Construction [23]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365458","5.3.9.1.1","32.0","","","","1"
"2001","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","36.5","","","","1"
"2002","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","36.4","","","","1"
"2003","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","38.1","","","","1"
"2004","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","39.7","","","","1"
"2005","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","33.9","","","","1"
"2006","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","34.5","","","","1"
"2007","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","36.4","","","","1"
"2008","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","32.5","","","","1"
"2009","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","30.8","","","","1"
"2010","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","29.2","","","","1"
"2011","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","30.0","","","","1"
"2012","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","27.6","","","","1"
"2013","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","28.1","","","","1"
"2014","New Brunswick","2021A000213","Full-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365459","5.3.10.1.1","28.7","","","","1"
