"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","81.4","","","","1"
"2007","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","81.3","","","","1"
"2008","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","78.3","","","","1"
"2009","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","79.5","","","","1"
"2010","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","88.1","","","","1"
"2011","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","90.6","","","","1"
"2012","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","85.0","","","","1"
"2013","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","87.0","","","","1"
"2014","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","87.8","","","","1"
"2015","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","81.2","","","","1"
"2016","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","90.0","","","","1"
"2017","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","94.9","","","","1"
"2018","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","94.5","","","","1"
"2019","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","94.7","","","","1"
"2020","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","62.4","","","","1"
"2021","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","59.4","","","","1"
"2022","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","83.9","","","","1"
"2023","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","93.8","","","","1"
"2024","Ontario","2021A000235","Part-time employment","Information and cultural industries [51, 71]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366520","7.4.25.1.1","100.8","","","","1"
