"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","20.2","","","","1"
"2003","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","21.1","","","","1"
"2004","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","20.2","","","","1"
"2005","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","21.5","","","","1"
"2006","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","20.7","","","","1"
"2007","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","21.4","","","","1"
"2008","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","21.1","","","","1"
"2009","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","22.4","","","","1"
"2010","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","23.5","","","","1"
"2011","Saskatchewan","2021A000247","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367544","9.4.14.1.1","21.5","","","","1"
